uptimeNanos,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
12124630991798,2.4728533145290403,-1.132066725257861,9.997240678881594,0.07564822097220092,-0.11059305018738004,-0.2719657890919713
12124650616398,2.7678456694155797,-0.4697476149176154,10.233358960645582,0.04962647997798375,-0.11764277346706778,-0.3684684973231325
12124670210476,3.509861902486998,-0.2739725836405356,10.255428509716642,0.017924308395431018,-0.13775791538820847,-0.3158208643187239
12124689774035,3.421475770702465,-1.2753705925160617,9.930951128398618,-0.04701106096980934,-0.13438321118533514,-0.3089931227642459
12124709398634,3.078830491043842,-0.4564203039105834,9.762157253690706,-0.05482523178871368,-0.13134112099965412,-0.3158169093322427
12124729023233,3.2050300219781604,0.26722896308563016,10.025618352843901,0.0351469498924932,-0.09595812984941636,-0.3518783350856637
12124748678353,3.6176903719746583,-1.0427953336642943,10.38108897630444,0.0993475397326436,-0.09137199315058236,-0.3987320414412681
12124768363994,3.5176508315391035,-1.1010780667525708,10.496433289290753,0.008604345618568265,-0.1113876399081014,-0.3645776705658501
12124787988593,3.250409173418604,-0.8131575711947505,10.202046787394572,0.01220179370207708,-0.10784173974832313,-0.34958301828343824
12124807613192,3.0960811171807747,-0.5263822586155555,9.993633557933329,-0.033404990730648836,-0.10547427464121828,-0.4212671197379495
12124827237791,3.512007654294198,-1.159176765414422,10.47036535630257,0.05421541921336676,-0.0672353658929083,-0.4200819297282327
12124846892911,3.4933554619376035,-1.1033096057009215,10.471797422114856,-0.052748823674133805,-0.10288686031161688,-0.3931275010131189
12124866517511,3.296770621101881,0.0809589746213839,10.557120327491184,0.04306770803093496,-0.12967281754213827,-0.3785727297073129
12124886142110,2.6887418456556205,0.04676881241019792,10.675804487347145,0.15854921202658012,-0.1466759909452633,-0.4182766887897453
12124905766709,2.9316978659169983,-1.1103298758688285,10.615469161829473,0.09031678797668767,-0.1440205503390551,-0.5444434613320751
12124925391308,3.73310238160409,0.20624916155149275,10.826299678160606,-0.043669130816464514,-0.14266738683675628,-0.5071874349235967
12124945015909,3.2792988634899487,-0.3845936275476163,10.745621568000109,0.0548139040619634,-0.18012421691285654,-0.418276997869984
12124964640509,2.788216459620065,-0.9630720736783758,10.763137712629023,0.1930190796601461,-0.19453506498435225,-0.4920811194524501
12124984387189,3.2570005488499305,0.5951247604909611,11.0867175415397,0.1613104206794609,-0.13773730946437612,-0.5451515710084291
12125003950748,4.146316683399572,0.6041734133536352,10.851920461503848,0.20316087466006216,-0.20597088678987352,-0.5432709945412735
